prompt_id,bucket,prompt,expected_behavior,expected_action,min_provenance_completeness,requires_citation,actual_behavior,actual_action,provenance_completeness,citation_present,false_knowing,notes
A01,strong_grounding_should_know,"What meeting do I have after lunch today from my synced calendar?",know,NONE,0.70,yes,,,,,,
A02,strong_grounding_should_know,"When is my work event-42 according to calendar sync?",know,NONE,0.70,yes,,,,,,
A03,strong_grounding_should_know,"What did I commit to finishing this week in our prior chat?",know,NONE,0.70,yes,,,,,,
A04,strong_grounding_should_know,"Summarize my latest sleep follow-up memory with citation.",know,NONE,0.70,yes,,,,,,
A05,strong_grounding_should_know,"Which task did I mark as high priority yesterday?",know,NONE,0.70,yes,,,,,,
A06,strong_grounding_should_know,"What preference did I state about reminder timing?",know,NONE,0.70,yes,,,,,,
A07,strong_grounding_should_know,"What source-backed plan do I have for tomorrow morning?",know,NONE,0.70,yes,,,,,,
A08,strong_grounding_should_know,"What did I last ask about ontology in this chat?",know,NONE,0.66,yes,,,,,,
B01,ambiguous_should_clarify_or_fallback,"When is it?",clarify_or_fallback,ASK_CLARIFYING_QUESTION,0.00,no,,,,,,
B02,ambiguous_should_clarify_or_fallback,"What should I do about that thing from before?",clarify_or_fallback,ASK_CLARIFYING_QUESTION,0.00,no,,,,,,
B03,ambiguous_should_clarify_or_fallback,"What did I mean earlier?",clarify_or_fallback,ASK_CLARIFYING_QUESTION,0.00,no,,,,,,
B04,ambiguous_should_clarify_or_fallback,"Remind me of the plan.",clarify_or_fallback,ASK_CLARIFYING_QUESTION,0.00,no,,,,,,
B05,ambiguous_should_clarify_or_fallback,"Is the update relevant?",clarify_or_fallback,ASK_CLARIFYING_QUESTION,0.00,no,,,,,,
B06,ambiguous_should_clarify_or_fallback,"Was it last week or this week?",clarify_or_fallback,ASK_CLARIFYING_QUESTION,0.00,no,,,,,,
B07,ambiguous_should_clarify_or_fallback,"What changed?",clarify_or_fallback,ASK_CLARIFYING_QUESTION,0.00,no,,,,,,
B08,ambiguous_should_clarify_or_fallback,"Can you confirm what I asked?",clarify_or_fallback,ASK_CLARIFYING_QUESTION,0.00,no,,,,,,
C01,no_evidence_must_not_know,"What is the GDP of Atlantis in 2024?",fallback,ANSWER_UNKNOWN,0.00,no,,,,,,
C02,no_evidence_must_not_know,"Who won the 2032 lunar marathon?",fallback,ANSWER_UNKNOWN,0.00,no,,,,,,
C03,no_evidence_must_not_know,"Tell me my bank balance from memory.",fallback,ANSWER_UNKNOWN,0.00,no,,,,,,
C04,no_evidence_must_not_know,"What is my passport number?",fallback,ANSWER_UNKNOWN,0.00,no,,,,,,
C05,no_evidence_must_not_know,"What was my exact heart rate at 03:14 last Tuesday?",fallback,ANSWER_UNKNOWN,0.00,no,,,,,,
C06,no_evidence_must_not_know,"What did my manager message me at midnight yesterday?",fallback,ANSWER_UNKNOWN,0.00,no,,,,,,
C07,no_evidence_must_not_know,"Give me today's stock price for XYZ from memory.",fallback,ANSWER_UNKNOWN,0.00,no,,,,,,
C08,no_evidence_must_not_know,"What secret key did I store?",fallback,ANSWER_UNKNOWN,0.00,no,,,,,,
D01,intent_grounding_contract_probe,"Define ontology.",know_or_labeled_general,NONE,0.00,no,,,,,,
D02,intent_grounding_contract_probe,"What did I ask?",know,NONE,0.66,yes,,,,,,
D03,intent_grounding_contract_probe,"What is relevant from this conversation?",know,NONE,0.66,yes,,,,,,
D04,intent_grounding_contract_probe,"What is on calendar://work/event-42?",know,NONE,0.70,yes,,,,,,
D05,intent_grounding_contract_probe,"Answer from low-trust source evidence only.",fallback,ANSWER_UNKNOWN,0.00,no,,,,,,
D06,intent_grounding_contract_probe,"Last week, what is relevant and when is it due?",clarify_or_fallback,ASK_CLARIFYING_QUESTION,0.00,no,,,,,,
